word,phonetic,audio_file
ayrım,ajɾɯm,https://sozluk.rtuk.gov.tr/Home/SesKelime/578
ayyaş,ajjaʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/581
aza,aːzaː,https://sozluk.rtuk.gov.tr/Home/SesKelime/584
azami,aːzamiː,https://sozluk.rtuk.gov.tr/Home/SesKelime/591
azap,azabɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/588
azar,azaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/592
azim,azim,https://sozluk.rtuk.gov.tr/Home/SesKelime/597
aziz,aziz,https://sozluk.rtuk.gov.tr/Home/SesKelime/601
azletmek,azletmek,https://sozluk.rtuk.gov.tr/Home/SesKelime/603
baba,baba,https://sozluk.rtuk.gov.tr/Home/SesKelime/607
badem,baːdɛm,https://sozluk.rtuk.gov.tr/Home/SesKelime/629
bad,bɑːd,https://sozluk.rtuk.gov.tr/Home/SesKelime/624
Ne,Neba:hât,https://sozluk.rtuk.gov.tr/Home/SesKelime/7989
bağ,baː,https://sozluk.rtuk.gov.tr/Home/SesKelime/634
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
sahip,saːhip,https://sozluk.rtuk.gov.tr/Home/SesKelime/9130
bağımlı,baːmɫɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/643
bağımsızlık,baːmsɯzɫɯk,https://sozluk.rtuk.gov.tr/Home/SesKelime/644
düşkün,dyʃcyn,https://sozluk.rtuk.gov.tr/Home/SesKelime/12610
bağırmak,baːɾmak,https://sozluk.rtuk.gov.tr/Home/SesKelime/646
bağıntı,ba‿ɯntɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/645
bağış,baːʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/648
bağışlamak,baːʃɫamak,https://sozluk.rtuk.gov.tr/Home/SesKelime/649
veya,vejaːhut,https://sozluk.rtuk.gov.tr/Home/SesKelime/11569
bağlam,baːɫam,https://sozluk.rtuk.gov.tr/Home/SesKelime/12317
bağlantı,baːɫantɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/652
bahane,bahaːne,https://sozluk.rtuk.gov.tr/Home/SesKelime/657
Bahadır,Baha:dır,https://sozluk.rtuk.gov.tr/Home/SesKelime/655
bahar,bahaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/658
bahçe,baht͡ʃe,https://sozluk.rtuk.gov.tr/Home/SesKelime/662
bahçıvan,baht͡ʃɯvan,https://sozluk.rtuk.gov.tr/Home/SesKelime/663
bahis,bahis,https://sozluk.rtuk.gov.tr/Home/SesKelime/665
bahşiş,bahʃiʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/671
bahşetmek,bahʃ‿etmɛk,https://sozluk.rtuk.gov.tr/Home/SesKelime/670
Bahri,bahri:,https://sozluk.rtuk.gov.tr/Home/SesKelime/668
için,it͡ʃin,https://sozluk.rtuk.gov.tr/Home/SesKelime/12813
baki,baːci,https://sozluk.rtuk.gov.tr/Home/SesKelime/680
bakla,bakɫa,https://sozluk.rtuk.gov.tr/Home/SesKelime/685
bakkaliye,bakkaːlije,https://sozluk.rtuk.gov.tr/Home/SesKelime/684
baklava,bakɫava,https://sozluk.rtuk.gov.tr/Home/SesKelime/686
bakiye,bacije,https://sozluk.rtuk.gov.tr/Home/SesKelime/683
ve,Véba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/11492
bakteri,bakteɾi,https://sozluk.rtuk.gov.tr/Home/SesKelime/687
bal,bal,https://sozluk.rtuk.gov.tr/Home/SesKelime/690
çıkma,t͡ʃɯkma,https://sozluk.rtuk.gov.tr/Home/SesKelime/12494
yarım,jaɾɯm,https://sozluk.rtuk.gov.tr/Home/SesKelime/13593
balerin,baleɾin,https://sozluk.rtuk.gov.tr/Home/SesKelime/700
balo,baɫo,https://sozluk.rtuk.gov.tr/Home/SesKelime/706
balon,baɫon,https://sozluk.rtuk.gov.tr/Home/SesKelime/707
banliyö,banlijœ,https://sozluk.rtuk.gov.tr/Home/SesKelime/715
bar,baːɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/717
bari,baːɾi,https://sozluk.rtuk.gov.tr/Home/SesKelime/726
bariyer,baɾijɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/728
barmen,baɾmɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/730
klasik,kɯlɑsik,https://sozluk.rtuk.gov.tr/Home/SesKelime/5474
bariz,baːɾiz,https://sozluk.rtuk.gov.tr/Home/SesKelime/729
basketbol,bascetbol,https://sozluk.rtuk.gov.tr/Home/SesKelime/741
basit,basit,https://sozluk.rtuk.gov.tr/Home/SesKelime/740
batarya,bataɾja,https://sozluk.rtuk.gov.tr/Home/SesKelime/753
bateri,bateɾi,https://sozluk.rtuk.gov.tr/Home/SesKelime/754
bayağı,bajaː‿ɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/762
battaniye,battaːnije,https://sozluk.rtuk.gov.tr/Home/SesKelime/761
bayan,bajan,https://sozluk.rtuk.gov.tr/Home/SesKelime/763
bayi,baːji,https://sozluk.rtuk.gov.tr/Home/SesKelime/767
bazı,baːzɯ,https://sozluk.rtuk.gov.tr/Home/SesKelime/772
bazen,baːzɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/771
nazik,naːzik,https://sozluk.rtuk.gov.tr/Home/SesKelime/7983
bedava,bedaːva,https://sozluk.rtuk.gov.tr/Home/SesKelime/779
Bedava,Béda:va,https://sozluk.rtuk.gov.tr/Home/SesKelime/779
Hava,hava,https://sozluk.rtuk.gov.tr/Home/SesKelime/12767
bedbaht,bedbaht,https://sozluk.rtuk.gov.tr/Home/SesKelime/780
beden,bedɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/784
bedhah,bedhah,https://sozluk.rtuk.gov.tr/Home/SesKelime/789
Beni,Béni: İsra:⁓il,https://sozluk.rtuk.gov.tr/Home/SesKelime/844
Benim,Bénimsémék,https://sozluk.rtuk.gov.tr/Home/SesKelime/846
bedii,bediːi,https://sozluk.rtuk.gov.tr/Home/SesKelime/792
bedel,bɛdɛl,https://sozluk.rtuk.gov.tr/Home/SesKelime/783
bedenen,bedenɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/785
beher,behɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/798
bekar,bekaɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/810
bel,bel,https://sozluk.rtuk.gov.tr/Home/SesKelime/815
bela,belɑː,https://sozluk.rtuk.gov.tr/Home/SesKelime/817
beleş,beleʃ,https://sozluk.rtuk.gov.tr/Home/SesKelime/824
belediye,beledije,https://sozluk.rtuk.gov.tr/Home/SesKelime/823
belde,bɛɫde,https://sozluk.rtuk.gov.tr/Home/SesKelime/821
belgesel,bɛɫɡesɛl,https://sozluk.rtuk.gov.tr/Home/SesKelime/825
belki,beɫci,https://sozluk.rtuk.gov.tr/Home/SesKelime/829
ben,bɛn,https://sozluk.rtuk.gov.tr/Home/SesKelime/831
bende,bɛnde,https://sozluk.rtuk.gov.tr/Home/SesKelime/834
bencil,bend͡ʒil,https://sozluk.rtuk.gov.tr/Home/SesKelime/832
benek,benek,https://sozluk.rtuk.gov.tr/Home/SesKelime/838
bent,bɛnt,https://sozluk.rtuk.gov.tr/Home/SesKelime/848
benimsemek,benimsemek,https://sozluk.rtuk.gov.tr/Home/SesKelime/846
benzemek,benzemek,https://sozluk.rtuk.gov.tr/Home/SesKelime/849
benzin,benzin,https://sozluk.rtuk.gov.tr/Home/SesKelime/851
berbat,bɛɾbat,https://sozluk.rtuk.gov.tr/Home/SesKelime/856
berat,bɛɾat,https://sozluk.rtuk.gov.tr/Home/SesKelime/854
Berat,berat,https://sozluk.rtuk.gov.tr/Home/SesKelime/854
beraber,beɾaːbɛɾ,https://sozluk.rtuk.gov.tr/Home/SesKelime/853
