word,phonetic,audio_file
azap,azabı,https://sozluk.rtuk.gov.tr/Home/SesKelime/588
azim,azim,https://sozluk.rtuk.gov.tr/Home/SesKelime/597
aziz,aziz,https://sozluk.rtuk.gov.tr/Home/SesKelime/601
baba,baba,https://sozluk.rtuk.gov.tr/Home/SesKelime/607
badem,Ba:dem,https://sozluk.rtuk.gov.tr/Home/SesKelime/629
bad,Bâ:d,https://sozluk.rtuk.gov.tr/Home/SesKelime/624
Ne,Neba:hât,https://sozluk.rtuk.gov.tr/Home/SesKelime/7989
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
sahip,sa:hip,https://sozluk.rtuk.gov.tr/Home/SesKelime/9130
aynı,aynı,https://sozluk.rtuk.gov.tr/Home/SesKelime/574
veya,Véya:hut,https://sozluk.rtuk.gov.tr/Home/SesKelime/11569
bahane,Baha:né,https://sozluk.rtuk.gov.tr/Home/SesKelime/657
bahar,bahar,https://sozluk.rtuk.gov.tr/Home/SesKelime/658
bahçe,Bahçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/662
bahçıvan,Bahçıvan,https://sozluk.rtuk.gov.tr/Home/SesKelime/663
bahis,bahis,https://sozluk.rtuk.gov.tr/Home/SesKelime/665
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
için,için,https://sozluk.rtuk.gov.tr/Home/SesKelime/12813
baki,ba:ki,https://sozluk.rtuk.gov.tr/Home/SesKelime/680
baklava,Baklava,https://sozluk.rtuk.gov.tr/Home/SesKelime/686
badem,Ba:dem,https://sozluk.rtuk.gov.tr/Home/SesKelime/629
ve,Véba:,https://sozluk.rtuk.gov.tr/Home/SesKelime/11492
bakteri,Baktéri,https://sozluk.rtuk.gov.tr/Home/SesKelime/687
bal,bal,https://sozluk.rtuk.gov.tr/Home/SesKelime/690
yarım,yarım,https://sozluk.rtuk.gov.tr/Home/SesKelime/13593
balerin,Balérin,https://sozluk.rtuk.gov.tr/Home/SesKelime/700
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
balon,Balon,https://sozluk.rtuk.gov.tr/Home/SesKelime/707
bar,Ba:r,https://sozluk.rtuk.gov.tr/Home/SesKelime/717
bari,Ba:ri,https://sozluk.rtuk.gov.tr/Home/SesKelime/726
barmen,Barmen,https://sozluk.rtuk.gov.tr/Home/SesKelime/730
klasik,Kılâsik,https://sozluk.rtuk.gov.tr/Home/SesKelime/5474
basketbol,Baskétbol,https://sozluk.rtuk.gov.tr/Home/SesKelime/741
basit,basit,https://sozluk.rtuk.gov.tr/Home/SesKelime/740
için,için,https://sozluk.rtuk.gov.tr/Home/SesKelime/12813
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
battaniye,Batta:niyé,https://sozluk.rtuk.gov.tr/Home/SesKelime/761
bayan,Bayan,https://sozluk.rtuk.gov.tr/Home/SesKelime/763
bayi,ba:yi,https://sozluk.rtuk.gov.tr/Home/SesKelime/767
bazı,ba:zı,https://sozluk.rtuk.gov.tr/Home/SesKelime/772
bazen,Ba:zen,https://sozluk.rtuk.gov.tr/Home/SesKelime/771
nazik,na:zik,https://sozluk.rtuk.gov.tr/Home/SesKelime/7983
bedava,Béda:va,https://sozluk.rtuk.gov.tr/Home/SesKelime/779
Bedava,Béda:va,https://sozluk.rtuk.gov.tr/Home/SesKelime/779
Hava,hava,https://sozluk.rtuk.gov.tr/Home/SesKelime/12767
beden,Béden,https://sozluk.rtuk.gov.tr/Home/SesKelime/784
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
Beni,Béni: İsra:⁓il,https://sozluk.rtuk.gov.tr/Home/SesKelime/844
Benim,Bénimsémék,https://sozluk.rtuk.gov.tr/Home/SesKelime/846
bedel,bedel,https://sozluk.rtuk.gov.tr/Home/SesKelime/783
bel,bél,https://sozluk.rtuk.gov.tr/Home/SesKelime/815
bel,bél,https://sozluk.rtuk.gov.tr/Home/SesKelime/815
bela,bélâ:,https://sozluk.rtuk.gov.tr/Home/SesKelime/817
belediye,Bélédiyé,https://sozluk.rtuk.gov.tr/Home/SesKelime/823
belde,Beldé,https://sozluk.rtuk.gov.tr/Home/SesKelime/821
veya,Véya:hut,https://sozluk.rtuk.gov.tr/Home/SesKelime/11569
belgesel,Belgésel,https://sozluk.rtuk.gov.tr/Home/SesKelime/825
belki,Bélki,https://sozluk.rtuk.gov.tr/Home/SesKelime/829
ben,Ben,https://sozluk.rtuk.gov.tr/Home/SesKelime/831
Türkçe,Türkçé,https://sozluk.rtuk.gov.tr/Home/SesKelime/11206
bende,Bendé,https://sozluk.rtuk.gov.tr/Home/SesKelime/834
bencil,Béncil,https://sozluk.rtuk.gov.tr/Home/SesKelime/832
Beni,Béni: İsra:⁓il,https://sozluk.rtuk.gov.tr/Home/SesKelime/844
bent,bent,https://sozluk.rtuk.gov.tr/Home/SesKelime/848
benzin,Bénzin,https://sozluk.rtuk.gov.tr/Home/SesKelime/851
berbat,Berbat,https://sozluk.rtuk.gov.tr/Home/SesKelime/856
berbat,Berbat,https://sozluk.rtuk.gov.tr/Home/SesKelime/856
beraber,béra:ber,https://sozluk.rtuk.gov.tr/Home/SesKelime/853
berber,Berber,https://sozluk.rtuk.gov.tr/Home/SesKelime/859
berbat,Berbat,https://sozluk.rtuk.gov.tr/Home/SesKelime/856
kız,kız,https://sozluk.rtuk.gov.tr/Home/SesKelime/13178
bereket,Bérékét,https://sozluk.rtuk.gov.tr/Home/SesKelime/866
beri,béri,https://sozluk.rtuk.gov.tr/Home/SesKelime/872
